./main.out Solved7749 0.411684 RRRLLLDDRRRUUDDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
./main.out Solved7749 0.398452 RRRLLLDDRRRUUDDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
./main.out Solved856186 91.9584 DLLLDDRRRRURRURURRDLLRRRDDLLLUDRULLLLDLLULURURRDLULDLDDRRULRRUULDRDRRRLLLLRRRRDRRRUULULLDURRDLRRDDLLULLLLRRRRDRRULLLLLRRRRUULDRDLLLRRUULDRDL
./main.out Failure 966958 600RDRRDDDRRUULUURUULLULLLLDDUURRRRDRRDDLDLLLULLLLLLRRRRUUURRDLULDDDLLLULLDRRRRRDUUURRURRDRDDUULLLLULDR
./main.out Solved! 3 7.5995e-05 UR
./main.out Solved! 67113 8.57783 DLLLDDRRRRURRURURRDLLRRRDDLLLUDRULLLLDLLLLUURRRURDLLLLDDRRULURURRDLULDLDDRRULRRUULDRDRRRLLLLRRRRDRRRUULULLDURRDLRRDDLLULLLLRRRRDRRULLLLLRRRRUULDRDLLLRRUULDRDL
./main.out Solved! 5066 0.26175 DDRRRLLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUUUDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
./main.out Failure 3902778 600LLDDRDDUURDDDDUUULULUURDDDRDDDLDDRRRDRRULLLRRUUUUULULLDDDDLLLLULLDRRRRRDDLLRRRRRDRRULLLRRUUUUULULLDLULLDRDRDDDUUULUURDDUURRRDLLLDLULURRRLLUURRDULLDDRDRRRU
./main.out Solved! 4462 3.45303 UURUUUUURDDLDRRRRRRLLLLUULUURDDDLDRRRRUUUURRRRRRRRRRRRRDDDRRRDRUUUUDDLLUUULDDLDRRRDRUU
./main.out Solved! 3258 0.172874 URUULLLDDLLUURLUURRDDRRRUULDRDLLLUULLDDRRRRDRDDLUURULUURDDDLULLUULLDDRRRRDRUDLDDRULUULLLLDDRRUDLLUURRRR
difficult Solved! 3 8.9812e-05 UR
/lvl1.lv Solved! 3 7.3103e-05 UR
/difficult.lv Solved! 67113 8.36638 DLLLDDRRRRURRURURRDLLRRRDDLLLUDRULLLLDLLLLUURRRURDLLLLDDRRULURURRDLULDLDDRRULRRUULDRDRRRLLLLRRRRDRRRUULULLDURRDLRRDDLLULLLLRRRRDRRULLLLLRRRRUULDRDLLLRRUULDRDL
/lvl5.lv Solved! 5066 0.33661 DDRRRLLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUUUDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
difficult Solved! 3 0.000279904 UR
difficult Solved! 3 0.000274494 UR
lvl1.lv Solved! 3 7.2035e-05 UR
difficult.lv Solved! 67113 8.09391 DLLLDDRRRRURRURURRDLLRRRDDLLLUDRULLLLDLLLLUURRRURDLLLLDDRRULURURRDLULDLDDRRULRRUULDRDRRRLLLLRRRRDRRRUULULLDURRDLRRDDLLULLLLRRRRDRRULLLLLRRRRUULDRDLLLRRUULDRDL
lvl5.lv Solved! 5066 0.271109 DDRRRLLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUUUDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
lvl3.lv Solved! 3258 0.152943 URUULLLDDLLUURLUURRDDRRRUULDRDLLLUULLDDRRRRDRDDLUURULUURDDDLULLUULLDDRRRRDRUDLDDRULUULLLLDDRRUDLLUURRRR
lvl1.lv Solved! 3 8.39e-05 UR
difficult.lv Solved! 67113 8.52 DLLLDDRRRRURRURURRDLLRRRDDLLLUDRULLLLDLLLLUURRRURDLLLLDDRRULURURRDLULDLDDRRULRRUULDRDRRRLLLLRRRRDRRRUULULLDURRDLRRDDLLULLLLRRRRDRRULLLLLRRRRUULDRDLLLRRUULDRDL
lvl5.lv Solved! 5066 0.285 DDRRRLLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUUUDDRRULDLULLLUURRRDDUULUURDDLLLDDRRDRULLLUURRRDDUURRURRDLLLLDDLLLUURRURDLLLDDRRRUUDDLDDRUURRDL
